Abdicate,(verb) to cast off or relinquish
Aberration,(noun) a state or condition markedly different from the norm
Abject,(adj.) sunk to a low condition or in miserable circumstances
Abolish,(verb) do away with
Abridge,(verb) lessen, diminish, or curtail; reduce in scope while retaining essential elements
Abstemious,(adj.) sparing in consumption of especially food and drink; marked by temperance
Accent,(verb) put stress on; utter with an accent; to stress, single out as important
Accolade,(noun) a tangible symbol signifying approval or distinction
Acquiesce,(verb) to agree or express agreement; rest satisfied
Acrimonious,(adj.) caustic, biting or rancorous in language or expression
Acumen,(noun) shrewdness shown by keen insight
Affable,(adj.) friendly; outgoing disposition
Affirmation,(noun) a statement asserting the existence or the truth of something
Alacrity,(noun) liveliness and eagerness; youthful energy
Alleviate,(verb) provide physical relief, as from pain; make easier
Aloof,(adj.) remote in manner; distant
Amass,(verb) to collect or gather; get or gather together
Ambiguous,(adj.) having more than one possible meaning; often misleading
Ambivalence,(noun) mixed feelings or emotions
Ambulatory,(noun) a covered walkway; (adj.) relating to or adapted for walking; able to walk about
Ameliorate,(verb) get better; to make better
Amity,(noun) a cordial disposition; a state of friendship and cordiality
Anchor,(noun) a central cohesive source of support and stability; verb fix firmly and stably
Antagonize,(verb) to provoke the hostility of; act in opposition to
Antediluvian,(adj.) so extremely old as seeming to belong to an earlier period; of or relating to the period before the biblical flood; (noun) a very old person
Apathy,(noun) the trait of lacking enthusiasm for or interest in things generally; an absence of enthusiasm
Apocryphal,(adj.) doubtful authenticity
Arcane,(adj.) requiring secret or mysterious knowledge
Ascendancy,(noun) the state that exists when one person or group has power over another
Atrophy,(noun) any weakening or degeneration
Augment,(verb) to enlarge or increase; grow or intensify
Avuncular,(adj.) like an uncle in kindness or indulgence; being or relating to an uncle
Bane,(noun) something causes misery or death
Belie,(verb) represent falsely; be in contradiction with
Belittle,(verb) lessen the authority, dignity, or reputation of; express a negative opinion of; cause to seem less serious
Bellicose,(adj.) having or showing a ready disposition to fight
Belligerence,(noun) hostile or warlike attitude or nature; a natural disposition to be hostile
Benign,(adj.) pleasant and beneficial in nature or influence; kindness of disposition or manner; not dangerous to health
Bizarre,(adj.) conspicuously or grossly unconventional or unusual
Blatant,(adj.) noisy in a vulgar or offensive manner
Blunder,(noun) an embarrassing mistake; (verb) to utter impulsively; make one's way clumsily or blindly
Brevity,(noun) the attribute of being brief or fleeting; the use of brief expressions
Bucolic,(adj.) relating to shepherds or herdsmen or devoted to raising sheep or cattle; (noun) a short descriptive poem of rural or pastoral life; a country person; (adj.) used of idealized country life
Bungle,(verb) to spoil by behaving clumsily or foolishly; (noun) an embarrassing mistake; verb make a mess of, destroy or ruin
Burgeon,(verb) to grow and flourish
Cajole,(verb) to deceive or persuade with false pretenses
Callous,(verb) make insensitive or callous; deaden feelings or morals; (adj.) emotionally hardened
Candid,(adj.) openly straightforward and direct without reserve or secretiveness; informal or natural
Cantankerous,(adj.) having a difficult and contrary disposition; stubbornly obstructive and unwilling to cooperate
Capitulate,(verb) to surrender under agreed conditions
Capricious,(adj.) determined by chance or impulse or whim rather than by necessity or reason; changeable
Censure,(noun) harsh criticism or disapproval; the state of being excommunicated; (verb) rebuke formally
Chagrin,(noun) strong feelings of embarrassment; (verb) cause to feel shame; hurt the pride of
Charlatan,(noun) a quack or one showing false pretenses
Chicanery,(noun) the use of tricks to deceive someone
Churlish,(adj.) having a bad disposition; surly; rude and boorish
Clairvoyant,(noun) someone who has the power of clairvoyance; (adj.) foreseeing the future
Clemency,(noun) leniency and compassion shown toward offenders of rule or law
Coalesce,(verb) to fuse or cause to grow together; mix together different elements
Cohere,(verb) cause to form a united, orderly, and aesthetically consistent whole; come in close contact
Complacent,(adj.) contented to a fault with oneself or one's actions
Compress,(verb) to squeeze or press together; make more compact by or as if by pressing
Confide,(verb) reveal in private; tell confidentially; confer a trust upon
Confound,(verb) to mistake one thing for another; be confusing or perplexing to
Congeal,(verb) to change from a liquid to solid state
Congenial,(adj.) used of plants; suitable to your needs or similar to your nature
Contaminant,(noun) a substance that violates the purity of an item
Converge,(verb) to come together so as to form a single product; move or draw together at a certain location
Convivial,(adj.) occupied with or fond of the pleasures of good company
Copious,(adj.) large in number or quantity; affording an abundant supply
Corroborate,(verb) to support with evidence or authority or make more certain or confirm; establish or strengthen as with new evidence or facts
Corrugated,(adj.) shaped into alternating parallel grooves and ridges
Corrupt,(verb) to alter from the original; (adj.) lacking in integrity
Cowardice,(noun) a lack of courage
Credence,(noun) the attitude that something is believable and should be accepted as true
Cryptic,(adj.) having a puzzling terseness; of an obscure nature; having a secret or hidden meaning
Cupidity,(noun) greed and strong desire for wealth
Cursory,(adj.) hasty and without attention to detail; not thorough
Daunt,(verb) cause to lose courage
Dauntless,(adj.) invulnerable to fear or intimidation
Debilitate,(verb) make weak
Decorous,(adj.) dignified in conduct, manners or disposition
Delusion,(noun) deception by creating illusory ideas; a mistaken or unfounded opinion or idea;
Deplete,(verb) use or exhaust resources
Derelict,(adj.) abandoned duty or neglected by owner or occupant
Deviate,(verb) to stray from the norm or standard
Dictum,(noun) an authoritative declaration; an opinion voiced by a judge on a point of law not directly bearing on the case in question and therefore not binding
Didactic,(adj.) designed or intended to teach; making moral observations
Discrepancy,(noun) a difference between conflicting facts or claims or opinions; an event that departs from expectations
Disdain,(noun) lack of respect accompanied by a feeling of intense dislike; (verb) reject with contempt
Disentangle,(verb) to smoothen and neaten; free from involvement
Disingenuous,(adj.) not straightforward or candid; giving a false appearance of frankness
Distend,(verb) to swell from or as if from internal pressure; cause to expand as it by internal pressure
Docile,(adj.) easily handled or managed; ready and willing to be taught
Drawback,(noun) the quality of being a hindrance
Dubious,(adj.) not convinced; fraught with uncertainty or doubt; open to doubt or suspicion
Edict,(noun) a proclamation having the force of law
Efface,(verb) to make inconspicuous; remove completely from recognition or memory
Effervescent,(adj.) marked by high spirits or excitement; bubbly and engaging
Eloquent,(adj.) marked for forceful or fluent expression; well-spoken
Enhance,(verb) to increase; make better or more attractive
Enigmatic,(adj.) resembling an oracle in obscurity of thought; not clear or understandable
Entourage,(noun) the group following and attending to some important person
Ephemeral,(adj.) lasting a very short time; noun anything short-lived
Epitome,(noun) a brief abstract in a book or journal; a standard or typical example
Equilibrium,(noun) a stable, balanced system
Equivocate,(verb) be deliberately ambiguous or unclear in order to mislead or withhold information
Erudite,(adj.) well read or esteemed for knowledge
Eschew,(verb) to avoid or shun
Eulogy,(noun) praise; a speech full of praise at a funeral
Euphonious,(adj.) having a pleasant sound; pleasing in sound; not harsh or strident
Evacuate,(verb) excrete or discharge from the body; empty completely;
Evanescent,(adj.) tending to vanish like vapor
Exacerbate,(verb) exasperate or irritate; make worse
Exclude,(verb) to prevent from being included or considered or accepted; prevent from entering
Exculpate,(verb) to clear from fault or guilt
Expedite,(verb) process fast and efficiently; speed up the progress of; facilitate
Expendable,(adj.) able to be spent or done away with;
Extol,(verb) praise, glorify, or honor
Facilitate,(verb) make easier; increase the likelihood of (a response); be of use
Fallow,(noun) cultivated land that is not seeded for one or more growing seasons; adj. undeveloped but potentially useful; left unplowed and unseeded during a growing season
Famished,(adj.) extremely hungry
Fastidious,(adj.) giving careful attention to detail; hard to please; excessively concerned with cleanliness; having complicated nutritional requirements; especially growing only in special artificial cultures
Fathom,(noun) understanding or comprehension; also a unit of length equal to 6 cubic feet
Fertile,(adj.) capable of reproducing; marked by great fruitfulness; bearing in abundance especially offspring; intellectually productive
Fidelity,(noun) the quality of being faithful
Flourish,(verb) to grow stronger; move or swing back and forth; gain in wealth
Foible,(noun) a behavioral attribute that is distinctive and peculiar to an individual
Foster,(verb) help develop, help grow
Fraudulent,(adj.) intended to deceive
Frivolous,(adj.) of little importance or lacking seriousness
Frugal,(adj.) avoiding waste; spendthrift
Fruitful,(adj.) productive or conducive to producing in abundance; productive of profit
Fruitless,(adj.) unproductive of success
Furtive,(adj.) marked by quiet and caution and secrecy; taking pains to avoid being observed; secret and sly or sordid
Futile,(adj.) producing no result or effect; unproductive of success
Garner,(verb) store grain; noun a storehouse for threshed grain or animal feed; verb assemble or get together; acquire or deserve by one's efforts or actions
Gaudy,(adj.) marked by conspicuous display; tastelessly showy
Generic,(noun) any product that can be sold without a brand name; adj. applicable to an entire class or group
Genre,(noun) a class of art having a characteristic form or technique; a kind of literary or artistic work
Germane,(adj.) relevant or appropriate
Glean,(verb) gather, as of natural products; to pick over in search of relevant materials
Glib,(adj.) artfully persuasive in speech; having only superficial plausibility; marked by lack of intellectual depth
Gluttony,(noun) eating to excess; habitual eating to excess
Grandiose,(adj.) impressive because of unnecessary largeness or grandeur; used to show disapproval
Gratuitous,(adj.) without cause; unnecessary and unwarranted; costing nothing
Gregarious,(adj.) enjoying of other peoples' company or discourse
Grotto,(noun) a small cave
Guile,(noun) the use of tricks to deceive someone; the quality of being deceitful
Gullible,(adj.) easily tricked because of being too trusting; naive and easily deceived or tricked
Gusto,(noun) vigorous and enthusiastic enjoyment
Hackneyed,(adj.) repeated too often; over familiar through overuse
Harbinger,(noun) an indication of the approach of something or someone; verb foreshadow or presage
Haughty,(adj.) blatantly and disdainfully proud
Hefty,(adj.) of considerable weight and size; large in amount or extent or degree; rugged and powerful
Hiatus,(noun) a missing piece; an interruption in time
Hideous,(adj.) so extremely ugly as to be terrifying; grossly offensive to decency or morality; causing horror
Hilarity,(noun) great merriment or enjoyment
Hinder,(verb) put at a disadvantage
Hone,(verb) make perfect or complete
Humane,(adj.) marked or motivated by concern with the alleviation of suffering;
Husbandry,(noun) the practice of cultivating the land or raising stock
Hybrid,(noun) mixed offspring; produced by cross-breeding; mixture of words
Hyperbole,(noun) extravagant exaggeration
Hypocritical,(adj.) professing feelings or virtues one does not have
Iconoclast,(noun) someone who attacks cherished ideas or traditional institutions; a destroyer of images used in religious worship
Idiosyncratic,(adj.) peculiar to the individual
Imperial,(adj.) belonging to or befitting a supreme ruler; befitting or belonging to an emperor or empress;
Impudent,(adj.) marked by casual disrespect; improperly forward or bold
Inchoate,(adj.) only partly in existence; imperfectly formed
Incite,(verb) to provoke
Inconspicuous,(adj.) not prominent or readily noticeable
Incorrigible,(adj.) impervious to correction by punishment
Indignant,(adj.) angered at something unjust or wrong
Indolent,(adj.) slow to heal or develop and usually painless; disinclined to work or exertion; lazy
Ineffable,(adj.) too sacred to be uttered; defying expression or description
Innocuous,(adj.) producing no injury; harmless
Insolent,(adj.) unrestrained by convention or propriety; marked by casual disrespect
Intuition,(noun) instinctive knowing
Invocation,(noun) the act of appealing for help; an incantation used in conjuring or summoning a devil; a prayer asking God's help as part of a religious service; calling up a spirit or devil
Irascible,(adj.) characterized by anger; quickly aroused to anger
Ironic,(adj.) characterized by often poignant difference or incongruity between what is expected and what actually is; humorously sarcastic or mocking
Irrefutable,(adj.) impossible to deny or disprove
Jargon,(noun) specialized technical terminology; a characteristic language of a particular group
Jeopardize,(verb) to expose to danger or risk
Jettison,(verb) throw as from an airplane; throw away
Jocular,(adj.) characterized by jokes and good humor; adv. with humor
Judicious,(adj.) marked by the exercise of good judgment or common sense in practical matters
Juxtapose,(verb) place side by side
Kindle,(verb) cause to start burning; catch fire; call forth
Kinetic,(adj.) characterized by motion; relating to the motion of material bodies and the forces associated therewith; supplying motive force
Kudos,(noun) an expression of approval and commendation
Lackadaisical,(adj.) idle or indolent especially in a dreamy way; lacking spirit or liveliness
Laconic,(adj.) brief and to the point; without many words
Languid,(adj.) lacking spirit or liveliness
Laud,(verb) to give praise or highly approve
Lax,(adj.) emptying easily or excessively; lacking in rigor or strictness; not taut or rigid
Leniency,(noun) lightening a penalty or excusing from a chore by judges or parents or teachers; a disposition to yield to the wishes of someone; mercifulness as a consequence of being lenient or tolerant
Levitate,(verb) be suspended in the air, as if in defiance of gravity;
Levity,(noun) a manner lacking seriousness; feeling an inappropriate lack of seriousness
Listless,(adj.) lacking zest or vivacity; marked by low spirits; showing no enthusiasm
Loquacious,(adj.) full of trivial conversation
Lucid,(adj.) having a clear mind; transparently clear; easily understandable; transmitting light; able to be seen through with clarity; capable of thinking and expressing yourself in a clear and consistent manner
Lugubrious,(adj.) excessively mournful
Magnanimous,(adj.) generous and understanding and tolerant; noble and generous in spirit
Maladroit,(adj.) clumsy; lacking dexterity or physical coordination
Malleable,(adj.) capable of being shaped or bended
Maxim,(noun) a general truth or proverbial statement
Mellifluous,(adj.) pleasing to the ear; flowing in nature
Mendacious,(adj.) lying or deceitful demeanor
Mendicant,(noun) a beggar
Mercurial,(adj.) liable to sudden unpredictable change
Mettle,(noun) the courage to carry on
Misanthrope,(noun) a person who hates or distrusts humankind
Miscreant,(noun) a person without moral scruples
Mitigate,(verb) make less severe or harsh; to lessen the seriousness or extent of
Mobile,(adj.) capable of changing quickly from one state or condition to another; moving or capable of moving
Mollify,(verb) make less rigid or softer; make more temperate, acceptable, or suitable by adding something else
Morbid,(adj.) suggesting an unhealthy mental state; caused by or altered by or manifesting disease or pathology; suggesting the horror of death and decay
Motley,(verb) make something more diverse and varied; adj. consisting of a haphazard assortment of different kinds
Mundane,(adj.) ordinary, often boring
Munificent,(adj.) very generous; giving;
Myopic,(adj.) lacking foresight; narrow-minded
Myriad,(noun) a large indefinite number; adj. too numerous to be counted
Nadir,(noun) an extreme state of adversity; the lowest point of anything
Narcissistic,(adj.) characteristic of those having an inflated idea of their own importance; often selfish
Nebulous,(adj.) lacking definition or definite content; lacking definite form or limits;
Nefarious,(adj.) extremely wicked
Negligible,(adj.) so small as to be meaningless; insignificant; not worth considering
Nepotism,(noun) favoritism shown to relatives or close friends by those in power, usually for jobs
Nexus,(noun) a connected series or group; the means of connection between things linked in series
Nomad,(noun) an individual who roams about without purpose or residence
Nonchalant,(adj.) marked by blithe unconcern
Nostalgia,(noun) longing for something past; a longing, retrospective view
Nullify,(verb) make ineffective by counterbalancing the effect of; show to be invalid; declare invalid
Obdurate,(adj.) showing unfeeling resistance to tender feelings; stubbornly persistent in wrongdoing
Oblivion,(noun) the state of being disregarded or forgotten; total forgetfulness
Obscure,(verb) make difficult to perceive by sight; adj. not clearly understood or expressed
Obsequious,(adj.) attentive in an ingratiating or servile manner; attempting to win favor from influential people by flattery
Obtuse,(adj.) lacking sharpness or intellectual ability
Odyssey,(noun) a long wandering and eventful journey; a Greek epic poem (attributed to Homer) describing the journey of Odysseus after the fall of Troy
Onerous,(adj.) not easily borne; wearing
Onus,(noun) an onerous or difficult concern
Opacity,(noun) the degree to which something reduces the passage of light; more obscure
Opaque,(adj.) not clear; not transmitting or reflecting light or radiant energy; not clearly understood or expressed
Opulent,(adj.) rich and superior in quality
Oscillate,(verb) move or swing from side to side regularly; be undecided about something; waver between conflicting positions or courses of action
Ostentatious,(adj.) intended to attract notice and impress others; of a display that is tawdry or vulgar
Overt,(adj.) open and observable; not secret or hidden
Pacify,(verb) fight violence and try to establish peace; cause to be more favorably inclined; gain the good will of
Palpable,(adj.) capable of being perceived by the senses or the mind; especially capable of being handled or felt
Panacea,(noun) a cure-all; a remedy for all difficulties
Pander,(verb) arrange for sexual partners for others; verb yield (to); give satisfaction to
Parity,(noun) equality or equal status
Parsimony,(noun) extreme care in spending money; reluctance to spend money unnecessarily; extreme stinginess
Patent,(noun) a document granting an inventor sole rights to an invention; an official document granting a right or privilege; verb make open to sight or notice; adj. open; affording free passage
Paucity,(noun) an insufficient quantity or number
Pedantic,(adj.) marked by a narrow focus on or display of learning especially its trivial aspects
Pejorative,(adj.) derogatory or demeaning
Penchant,(noun) a strong liking or fondness
Penury,(noun) a state of extreme poverty or destitution
Perfidy,(noun) betrayal of a trust; an act of deliberate betrayal
Perfunctory,(adj.) hasty and without attention to detail; not thorough; as a formality only
Peripatetic,(adj.) often moving or wandering from place to place
Peripheral,(adj.) the outer area; related to the key issue but not of central importance
Petulant,(adj.) easily irritated or annoyed
Pilfer,(verb) to make off with belongings of others; steal
Placate,(verb) to soothe or mollify
Placid,(adj.) free from disturbance; living without undue worry; taking life easy; not easily irritated
Precise,(adj.) sharply exact or accurate or delimited
Premeditated,(adj.) characterized by deliberate purpose and some degree of planning
Pretentious,(adj.) making claim to or creating an appearance of importance or distinction; intended to attract notice and impress others; of a display that is tawdry or vulgar
Prevalent,(adj.) widely accepted, favored or practiced
Probity,(noun) complete and confirmed integrity; having strong moral principles
Proclivity,(noun) a natural inclination
Prodigal,(noun) a recklessly extravagant consumer; adj. marked by rash extravagance; very generous
Prodigious,(adj.) so great in size or force or extent as to elicit awe; far beyond what is usual
Profuse,(adj.) produced or growing in extreme abundance
Provoke,(verb) provide the needed stimulus for; evoke or provoke to appear or occur; call forth emotions or feelings
Proximity,(noun) the property of being close together
Prudence,(noun) discretion in practical affairs; knowing how to avoid embarrassment or distress
Puerile,(adj.) juvenile and immature
Pugnacious,(adj.) ready and able to resort to force or violence; tough and callous by virtue of experience
Pulverize,(verb) make into a powder by breaking up or cause to become dust; destroy completely
Quagmire,(noun) in a tough position; mired with difficulty
Queasy,(adj.) causing or fraught with or showing anxiety; feeling nausea; feeling about to vomit
Querulous,(adj.) habitually complaining
Quip,(noun) witty remark; verb make jokes
Quirk,(noun) a strange habit; verb twist or curve abruptly
Quixotic,(adj.) foolishly impractical; often unpredictable
Rant,(verb) to talk in a noisy, excited, or declamatory manner; noun pompous or pretentious talk or writing
Recalcitrant,(adj.) marked by stubborn resistance to authority; stubbornly resistant to authority or control
Recant,(verb) formally reject or disavow a formerly held belief, usually under pressure Reciprocal - (adj.) shared or felt on both sides
Reclusive,(adj.) providing privacy or seclusion; withdrawn from society; seeking solitude
Remedy,(noun) a medicine or therapy that cures disease or relieve pain; (verb) provide relief for; (noun) act of correcting an error or a fault or an evil; (verb) set straight or right
Replete,(verb) fill to satisfaction; adj. filled or permeated; filled to satisfaction with food or drink
Rescind,(verb) annul by recalling or rescinding
Reserve,(noun) the trait of being uncommunicative; not volunteering anything more than necessary; something kept back or saved for future use or a special purpose;
Resolute,(adj.) firm in purpose or belief; characterized by firmness and determination
Respite,(noun) a pause from doing something; a pause for relaxation; the act of reprieving
Rhetoric,(noun) study of the technique and rules for using language effectively; using language effectively to please or persuade; loud and confused and empty talk; high-flown style; excessive use of verbal ornamentation
Ruffle,(verb) pleat or gather into a ruffle; disturb the smoothness of; erect or fluff up; trouble or vex
Rupture,(noun) the act of making a sudden noisy break; a personal or social separation
Saccharine,(adj.) overly sweet
Salubrious,(adj.) favorable to health of mind or body; promoting health; healthful
Sardonic,(adj.) disdainfully or ironically humorous; scornful and mocking
Scrutinize,(verb) examine carefully for accuracy with the intent of verification; to look at critically or searchingly, or in minute detail
Seditious,(adj.) in opposition to a civil authority or government; arousing to action or rebellion
Sedulous,(adj.) marked by care and persistent effort
Skepticism,(noun) doubt about the truth of something; the disbelief in any claims of ultimate knowledge
Somber,(adj.) grave or even gloomy in character; lacking brightness or color; dull
Sovereign,(noun) a nation's ruler or head of state usually by hereditary right; (adj). greatest in status or authority or power; not controlled by outside forces
Sparse,(adj.) not dense; not thickly settled
Specify,(verb) decide upon or fix definitely; be specific about; determine the essential quality
Spontaneous,(adj.) happening or arising without apparent external cause; said or done without having been planned or written in advance
Spurn,(verb) reject with contempt
Squander,(verb) spend extravagantly; spend thoughtlessly; throw away or waste
Stimulus,(noun) any stimulating information or event; acts to arouse action
Stringent,(adj.) demanding strict attention to rules and procedures
Stymie,(noun) a thwarting and distressing situation; verb hinder or prevent the progress or accomplishment of
Subtle,(adj.) faint and difficult to analyze; able to make fine distinctions
Succinct,(adj.) briefly giving the gist of something
Summary,(noun) a brief statement that presents the main points in a concise form;
Summon,(verb) call in an official matter, such as to attend court; ask to come; gather or bring together
Sumptuous,(adj.) rich and superior in quality
Surreptitious,(adj.) conducted with or marked by hidden aims or methods; marked by quiet and caution and secrecy;
Sycophant,(noun) a servile, self-seeking flatterer
Symbiotic,(adj.) used of organisms living together but not necessarily in a relation beneficial to each; cooperative relationship
Taciturn,(adj.) disinclined to talk or speak
Tangent,(noun) often unrelated; a straight line or plane that touches a curve or curved surface at a point but does not intersect it at that point
Tantamount,(adj.) being essentially equal to something
Tawdry,(adj.) cheap and shoddy; tastelessly showy
Tenacious,(adj.) sticking together; good at remembering; stubbornly unyielding
Tenuous,(adj.) very thin in gauge or diameter; having thin consistency; having little substance or significance
Tranquil,(adj.) free from agitation or worry; calm
Transient,(noun) in Physics, a short-lived oscillation in a system caused by a sudden change of voltage or current or load; lasting a very short time
Truculence,(noun) obstreperous and defiant aggressiveness
Truncate,(verb) to shorten
Turbulence,(noun) unstable flow of a liquid or gas; a state of violent disturbance and disorder; instability
Ubiquitous,(adj.) omnipresent, existing everywhere at the same time
Urbane,(adj.) polite and refined
Usurp,(verb) to seize or hold in possession by force without right
Venality,(noun) prostitution of talents or offices or services for reward; associated with bribery
Venerable,(adj.) impressive by reason of age; profoundly honored
Venturesome,(adj.) disposed to venture or take risks
Verbose,(adj.) using or containing too many words
Vex,(verb) to bring trouble to, or annoy
Viable,(adj.) capable of life or normal growth and development; capable of being done with means at hand and circumstances as they are
Vibrancy,(noun) having the character of a loud deep sound; the quality of being resonant
Vilification,(noun) a rude expression intended to offend or hurt; slanderous defamation
Virulence,(noun) extreme hostility; extreme harmfulness
Wane,(verb) to decrease in size
Wanton,(noun) lewd or lascivious woman; verb behave extremely cruelly and brutally
Wary,(adj.) marked by keen caution and watchful prudence; openly distrustful and unwilling to confide
Whet,(verb) make keen or more acute; sharpen by rubbing
Whittle,(verb) cut small bits or pare shavings from
Willful,(adj.) habitually disposed to disobedience and opposition; done by design
Wily,(adj.) marked by skill in deception
Wont,(noun) a pattern of behavior acquired through frequent repetition; an established custom
Zany,(noun) a buffoon in one of the old comedies; adj. like a clown; ludicrous, foolish
Zealot,(noun) a fervent and even militant proponent of something
Zenith,(noun) the point above the observer that is directly opposite the nadir on the imaginary sphere against which celestial bodies appear to be projected
Zephyr,(noun) (Greek mythology) the Greek god of the west wind; a slight refreshing wind
Zest,(verb) add herbs or spices to; noun vigorous and enthusiastic enjoyment
